CreatedDate,Count of Campaign_Name__c
2025-09-29 00:00:00,214
2025-09-17 00:00:00,188
2025-09-28 00:00:00,40
2025-09-22 00:00:00,21
2025-08-26 00:00:00,17
2025-09-02 00:00:00,15
2025-09-09 00:00:00,14
2025-09-03 00:00:00,13
2025-09-23 00:00:00,13
2025-09-30 00:00:00,11
2025-09-01 00:00:00,9
2025-09-10 00:00:00,9
2025-10-01 00:00:00,9
2025-09-04 00:00:00,8
2025-09-11 00:00:00,8
2025-08-30 00:00:00,7
2025-09-08 00:00:00,7
2025-09-16 00:00:00,7
2025-08-27 00:00:00,6
2025-08-29 00:00:00,6
2025-09-12 00:00:00,6
2025-09-21 00:00:00,6
2025-08-28 00:00:00,5
2025-09-07 00:00:00,5
2025-09-15 00:00:00,5
2025-09-18 00:00:00,5
2025-09-24 00:00:00,5
2025-10-02 00:00:00,5
2025-09-14 00:00:00,4
2025-09-20 00:00:00,4
2025-09-25 00:00:00,3
2025-09-26 00:00:00,3
2025-08-31 00:00:00,2
2025-09-05 00:00:00,2
2025-09-06 00:00:00,2
2025-09-13 00:00:00,2
2025-09-19 00:00:00,1
2025-09-27 00:00:00,1
